Nom gare,Code Gare,Type jour,Date de comptage,Ligne,Tranche horaire,Montants
Bondy,87113407,JOB,2012-09-13,E,De 16h à 20h,2731
Bondy,87113407,Samedi,2012-09-22,E,Avant 6h,163
Bondy,87113407,Dimanche,2012-09-23,E,Avant 6h,166
Bondy,87113407,Dimanche,2012-09-23,E,De 10h à 16h,2727
Bondy,87113407,Dimanche,2012-09-23,E,De 16h à 20h,1819
Bondy,87113407,JOB,2012-09-13,E,De 6h à 10h,6896
Bondy,87113407,JOB,2012-09-13,E,Avant 6h,336
Bondy,87113407,Samedi,2012-09-22,E,De 10h à 16h,4251
Bondy,87113407,Samedi,2012-09-22,E,De 16h à 20h,2441
Bondy,87113407,JOB,2012-09-13,E,De 10h à 16h,3175
Bondy,87113407,Dimanche,2012-09-23,E,Après 20h,640
Bondy,87113407,JOB,2012-09-13,E,Après 20h,620
Bondy,87113407,Dimanche,2012-09-23,E,De 6h à 10h,919
Bondy,87113407,Samedi,2012-09-22,E,De 6h à 10h,2141
Bondy,87113407,Samedi,2012-09-22,E,Après 20h,895
Chelles Gournay,87116111,Dimanche,2012-09-23,E,De 10h à 16h,1524
Chelles Gournay,87116111,Dimanche,2012-09-23,E,De 6h à 10h,497
Chelles Gournay,87116111,Dimanche,2012-09-23,E,Après 20h,620
Chelles Gournay,87116111,JOB,2012-09-13,E,Avant 6h,203
Chelles Gournay,87116111,JOB,2012-09-13,E,Après 20h,391
Chelles Gournay,87116111,Dimanche,2012-09-23,E,De 16h à 20h,1155
Chelles Gournay,87116111,Samedi,2012-09-22,E,De 16h à 20h,1231
Chelles Gournay,87116111,Samedi,2012-09-22,E,Après 20h,717
Chelles Gournay,87116111,Samedi,2012-09-22,E,Avant 6h,74
Chelles Gournay,87116111,Samedi,2012-09-22,E,De 10h à 16h,2333
Chelles Gournay,87116111,Samedi,2012-09-22,E,De 6h à 10h,1124
Chelles Gournay,87116111,JOB,2012-09-13,E,De 16h à 20h,1687
Chelles Gournay,87116111,JOB,2012-09-13,E,De 10h à 16h,1861
Chelles Gournay,87116111,Dimanche,2012-09-23,E,Avant 6h,39
Chelles Gournay,87116111,JOB,2012-09-13,E,De 6h à 10h,4333
